Name,Price,Loan,Cards,Overdraft,Remarketing,C1_UC,C2_UC,C3_UC,C4_UC,C5_UC,C6_UC,C1_Elig,C2_Elig,C3_Elig,C4_Elig,C5_Elig,C6_Elig,C1_Mean_profit,C2_Mean_profit,C3_Mean_profit,C4_Mean_profit,C5_Mean_profit,C6_Mean_profit,C1_ROI,C2_ROI,C3_ROI,C4_ROI,C5_ROI,C6_ROI
Verdiana,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mustafa,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Liona,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Kinga,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Baltara,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Abader,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Labdar,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mandor,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lendor,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fera,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Sing,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lostia,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Quens,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Latka,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Valdez,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Links,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fords,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Inders,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Angor,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Allst,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlyt,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Noksar,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Simp,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lorem,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ipsum,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Datum,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mundum,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Entelechia,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Longs,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlynea,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dafnia,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tolkien,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ringer,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Eschia,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Laputa,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Totoro,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tokion,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Howl,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dante,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mugen,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Landa,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Michigo,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Bezeda,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Avra,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Antas,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lampe,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evge,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Renter,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mastora,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Langed,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Verdiana,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mustafa,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Liona,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Kinga,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Baltara,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Abader,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Labdar,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mandor,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lendor,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fera,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Sing,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lostia,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Quens,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Latka,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Valdez,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Links,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fords,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Inders,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Angor,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Allst,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlyt,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Noksar,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Simp,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lorem,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ipsum,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Datum,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mundum,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Entelechia,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Longs,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlynea,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dafnia,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tolkien,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ringer,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Eschia,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Laputa,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Totoro,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tokion,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Howl,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dante,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mugen,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Landa,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Michigo,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Bezeda,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Avra,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Antas,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lampe,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evge,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Renter,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mastora,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Langed,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Verdiana,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mustafa,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Liona,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Kinga,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Baltara,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Abader,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Labdar,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mandor,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lendor,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fera,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Sing,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lostia,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Quens,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Latka,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Valdez,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Links,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fords,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Inders,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Angor,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Allst,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlyt,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Noksar,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Simp,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lorem,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ipsum,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Datum,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mundum,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Entelechia,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Longs,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlynea,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dafnia,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tolkien,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ringer,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Eschia,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Laputa,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Totoro,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tokion,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Howl,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dante,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mugen,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Landa,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Michigo,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Bezeda,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Avra,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Antas,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lampe,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evge,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Renter,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mastora,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Langed,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Verdiana,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mustafa,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Liona,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Kinga,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Baltara,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Abader,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Labdar,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mandor,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lendor,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fera,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Sing,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lostia,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Quens,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Latka,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Valdez,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Links,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fords,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Inders,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Angor,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Allst,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlyt,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Noksar,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Simp,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lorem,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ipsum,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Datum,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mundum,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Entelechia,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Longs,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evlynea,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dafnia,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tolkien,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Ringer,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Eschia,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Laputa,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Totoro,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Tokion,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Howl,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Dante,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mugen,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Landa,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Michigo,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Bezeda,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Avra,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Antas,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lampe,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Evge,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Renter,55000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mastora,33000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Langed,21000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Verdiana,14000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mustafa,13000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Liona,27000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Kinga,30000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Baltara,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Abader,11000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Labdar,16000,0,1,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Mandor,12000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lendor,8000,0,0,0,1,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Fera,11000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Sing,29000,0,0,1,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
Lostia,45000,1,0,0,0,3000,500,350,250,200,60,0,0,0,0,0,0,,,,,,,,,,,,
